,Team,Sh,SoT,Dist,FK,PK,PKatt,GF,GA,xG,xGA,Poss,KP,1/3,PPA,CrsPA,Prog,Att 3rd,Att Pen,SCA,TB,Season,Points,Points per match,PrgP,PrgC
11,Crystal Palace,10.631578947368421,3.6842105263157894,16.355263157894736,0.34210526315789475,0.15789473684210525,0.21052631578947367,1.3157894736842106,1.2105263157894737,1.2157894736842105,1.0789473684210527,51.078947368421055,8.026315789473685,26.05263157894737,7.105263157894737,1.9736842105263157,0.0,130.07894736842104,19.710526315789473,18.710526315789473,1.0526315789473684,2021,48,1.263157894736842,32.3421052631579,15.578947368421053
12,Brentford,11.473684210526315,3.710526315789474,16.73421052631579,0.2894736842105263,0.15789473684210525,0.15789473684210525,1.263157894736842,1.4736842105263157,1.2052631578947368,1.2736842105263158,44.76315789473684,8.18421052631579,24.789473684210527,6.894736842105263,2.1315789473684212,0.0,120.15789473684211,21.55263157894737,19.44736842105263,1.3157894736842106,2021,46,1.2105263157894737,31.289473684210527,11.842105263157896
13,Aston Villa,12.131578947368421,4.184210526315789,17.573684210526316,0.5263157894736842,0.07894736842105263,0.07894736842105263,1.368421052631579,1.4210526315789473,1.1552631578947368,1.294736842105263,46.473684210526315,9.368421052631579,26.81578947368421,7.7105263157894735,1.8421052631578947,0.0,132.8684210526316,21.710526315789473,22.026315789473685,1.868421052631579,2021,45,1.1842105263157894,34.21052631578947,17.18421052631579
14,Southampton,12.578947368421053,4.2368421052631575,17.84736842105263,0.631578947368421,0.10526315789473684,0.10526315789473684,1.131578947368421,1.763157894736842,1.1763157894736842,1.5736842105263158,47.68421052631579,9.289473684210526,26.736842105263158,6.552631578947368,1.5263157894736843,0.0,150.3421052631579,21.842105263157894,21.42105263157895,1.131578947368421,2021,40,1.0526315789473684,34.89473684210526,19.157894736842106
15,Everton,11.31578947368421,3.4210526315789473,17.91842105263158,0.47368421052631576,0.15789473684210525,0.18421052631578946,1.131578947368421,1.736842105263158,1.0894736842105264,1.4526315789473685,40.0,8.5,23.63157894736842,6.7105263157894735,2.026315789473684,0.0,131.92105263157896,19.157894736842106,19.526315789473685,0.7894736842105263,2021,39,1.0263157894736843,28.94736842105263,13.473684210526315
16,Leeds United,12.631578947368421,3.736842105263158,18.55263157894737,0.34210526315789475,0.13157894736842105,0.13157894736842105,1.105263157894737,2.0789473684210527,1.1552631578947365,1.7815789473684212,52.3421052631579,9.131578947368421,26.18421052631579,7.157894736842105,1.394736842105263,0.0,129.44736842105263,20.763157894736842,21.710526315789473,1.736842105263158,2021,38,1.0,39.026315789473685,17.657894736842106
17,Burnley,10.657894736842104,3.1315789473684212,17.45,0.3684210526315789,0.02631578947368421,0.05263157894736842,0.8947368421052632,1.394736842105263,1.0473684210526317,1.5026315789473685,40.1578947368421,7.526315789473684,23.07894736842105,6.315789473684211,2.210526315789474,0.0,123.3157894736842,17.44736842105263,17.736842105263158,0.8421052631578947,2021,35,0.9210526315789473,25.57894736842105,10.210526315789474
18,Watford,10.447368421052632,3.236842105263158,18.30263157894737,0.631578947368421,0.02631578947368421,0.05263157894736842,0.8947368421052632,2.026315789473684,1.05,1.6894736842105267,40.71052631578947,7.842105263157895,21.94736842105263,5.605263157894737,1.8421052631578947,0.0,113.89473684210526,16.44736842105263,18.236842105263158,0.9210526315789473,2021,23,0.6052631578947368,28.157894736842106,14.657894736842104
19,Norwich City,9.736842105263158,2.736842105263158,18.828947368421055,0.47368421052631576,0.07894736842105263,0.07894736842105263,0.6052631578947368,2.210526315789474,0.8526315789473685,1.9868421052631582,42.86842105263158,6.947368421052632,19.44736842105263,5.947368421052632,1.2105263157894737,0.0,109.65789473684211,15.81578947368421,16.763157894736842,1.3157894736842106,2021,22,0.5789473684210527,27.13157894736842,14.894736842105264
0,Manchester City,15.526315789473685,5.394736842105263,16.555263157894732,0.5263157894736842,0.23684210526315788,0.2631578947368421,2.473684210526316,0.868421052631579,2.068421052631579,0.8473684210526314,64.73684210526316,12.210526315789474,46.578947368421055,11.710526315789474,1.9736842105263157,0.0,218.44736842105263,33.60526315789474,28.92105263157895,2.473684210526316,2022,89,2.3421052631578947,54.55263157894737,26.0
